xi,v2_xi,absF,reF,imF
1,0,4.982461734693882e-06,-4.982455872587008e-06,7.642997579942439e-09
2,1,4.982461734693883e-06,-4.98243828628018e-06,1.5285977175173287e-08
3,0,4.982461734693882e-06,-4.982408975814779e-06,2.2928920801023276e-08
4,2,4.982461734693881e-06,-4.982367941259775e-06,3.057181047290777e-08
5,0,4.982461734693882e-06,-4.9823151827117295e-06,3.8214628206369104e-08
6,1,4.982461734693882e-06,-4.982250700294786e-06,4.585735601711888e-08
7,0,4.982461734693882e-06,-4.982174494160678e-06,5.349997592108031e-08
8,3,4.982461734693827e-06,-4.982086564488672e-06,6.114246993442982e-08
9,0,4.9824617346938805e-06,-4.981986911485837e-06,6.878482007364279e-08
10,1,4.982461734693881e-06,-4.981875535386506e-06,7.642700835552911e-08
11,0,4.982461734693881e-06,-4.981752436452809e-06,8.406901679728222e-08
12,2,4.9824617346938805e-06,-4.98161761497441e-06,9.171082741651804e-08
13,0,4.9824617346938805e-06,-4.981471071268559e-06,9.935242223131804e-08
14,1,4.98246173469388e-06,-4.981312805680085e-06,1.0699378326027147e-07
15,0,4.9824617346938805e-06,-4.981142818581405e-06,1.146348925225177e-07
16,4,4.9824617346938255e-06,-4.980961110372458e-06,1.222757320377872e-07
17,0,4.98246173469388e-06,-4.980767681480985e-06,1.299162838264505e-07
18,1,4.98246173469388e-06,-4.980562532361981e-06,1.3755652990954719e-07
19,0,4.982461734693879e-06,-4.980345663498234e-06,1.451964523088416e-07
20,2,4.982461734693879e-06,-4.980117075400059e-06,1.5283603304685828e-07
21,0,4.982461734693878e-06,-4.979876768605345e-06,1.604752541469258e-07
22,1,4.982461734693879e-06,-4.979624743679558e-06,1.681140976332191e-07
23,0,4.982461734693879e-06,-4.979361001215736e-06,1.7575254553080142e-07
24,3,4.982461734693825e-06,-4.979085541834437e-06,1.833905798656651e-07
25,0,4.982461734693879e-06,-4.978798366184006e-06,1.9102818266478352e-07
26,1,4.982461734693879e-06,-4.9784994749400315e-06,1.9866533595613355e-07
27,0,4.982461734693879e-06,-4.978188868805889e-06,2.0630202176875772e-07
28,2,4.982461734693878e-06,-4.977866548512464e-06,2.1393822213279672e-07
29,0,4.982461734693879e-06,-4.977532514818208e-06,2.2157391907953342e-07
30,1,4.982461734693878e-06,-4.977186768509133e-06,2.2920909464143533e-07
31,0,4.982461734693878e-06,-4.976829310398815e-06,2.3684373085219688e-07
32,5,4.982461734693606e-06,-4.976460141328115e-06,2.4447780974676814e-07
33,0,4.982461734693877e-06,-4.976079262166538e-06,2.521113133614641e-07
34,1,4.982461734693877e-06,-4.975686673809516e-06,2.597442237338734e-07
35,0,4.982461734693877e-06,-4.975282377181119e-06,2.67376522903034e-07
36,2,4.982461734693876e-06,-4.974866373232694e-06,2.750081929094086e-07
37,0,4.982461734693877e-06,-4.974438662943141e-06,2.8263921579494053e-07
38,1,4.982461734693876e-06,-4.973999247318901e-06,2.902695736030959e-07
39,0,4.982461734693876e-06,-4.973548127393963e-06,2.978992483789056e-07
40,3,4.982461734693822e-06,-4.973085304229802e-06,3.0552822216900464e-07
41,0,4.982461734693876e-06,-4.972610778915646e-06,3.1315647702169067e-07
42,1,4.982461734693876e-06,-4.972124552567939e-06,3.207839949869333e-07
43,0,4.9824617346938755e-06,-4.971626626330871e-06,3.284107581164491e-07
44,2,4.982461734693875e-06,-4.971117001376111e-06,3.360367484637278e-07
45,0,4.982461734693875e-06,-4.970595678902857e-06,3.436619480840776e-07
46,1,4.982461734693875e-06,-4.970062660137829e-06,3.512863390346672e-07
47,0,4.982461734693874e-06,-4.969517946335273e-06,3.5890990337456797e-07
48,4,4.98246173469382e-06,-4.968961538776899e-06,3.6653262316479283e-07
49,0,4.982461734693874e-06,-4.968393438772149e-06,3.741544804683577e-07
50,1,4.982461734693874e-06,-4.967813647657656e-06,3.8177545735028413e-07
51,0,4.982461734693873e-06,-4.967222166797778e-06,3.8939553587768144e-07
52,2,4.982461734693873e-06,-4.966618997584327e-06,3.9701469811976874e-07
