residue_a,count_A,count_B,hat_p
1,40,39,0.975
3,40,0,0.0
5,40,40,1.0
7,40,0,0.0
9,40,40,1.0
11,40,0,0.0
13,40,40,1.0
15,40,0,0.0
17,39,39,1.0
19,39,0,0.0
21,39,39,1.0
23,39,0,0.0
25,39,39,1.0
27,39,0,0.0
29,39,39,1.0
31,39,0,0.0
33,39,39,1.0
35,39,0,0.0
37,39,39,1.0
39,39,0,0.0
41,39,39,1.0
43,39,0,0.0
45,39,39,1.0
47,39,0,0.0
49,39,39,1.0
51,39,0,0.0
53,39,39,1.0
55,39,0,0.0
57,39,39,1.0
59,39,0,0.0
61,39,39,1.0
63,39,0,0.0
65,39,39,1.0
67,39,0,0.0
69,39,39,1.0
71,39,0,0.0
73,39,39,1.0
75,39,0,0.0
77,39,39,1.0
79,39,0,0.0
81,39,39,1.0
83,39,0,0.0
85,39,39,1.0
87,39,0,0.0
89,39,39,1.0
91,39,0,0.0
93,39,39,1.0
95,39,0,0.0
97,39,39,1.0
99,39,0,0.0
101,39,39,1.0
103,39,0,0.0
105,39,39,1.0
107,39,0,0.0
109,39,39,1.0
111,39,0,0.0
113,39,39,1.0
115,39,0,0.0
117,39,39,1.0
119,39,0,0.0
121,39,39,1.0
123,39,0,0.0
125,39,39,1.0
127,39,0,0.0
129,39,39,1.0
131,39,0,0.0
133,39,39,1.0
135,39,0,0.0
137,39,39,1.0
139,39,0,0.0
141,39,39,1.0
143,39,0,0.0
145,39,39,1.0
147,39,0,0.0
149,39,39,1.0
151,39,0,0.0
153,39,39,1.0
155,39,0,0.0
157,39,39,1.0
159,39,0,0.0
161,39,39,1.0
163,39,0,0.0
165,39,39,1.0
167,39,0,0.0
169,39,39,1.0
171,39,0,0.0
173,39,39,1.0
175,39,0,0.0
177,39,39,1.0
179,39,0,0.0
181,39,39,1.0
183,39,0,0.0
185,39,39,1.0
187,39,0,0.0
189,39,39,1.0
191,39,0,0.0
193,39,39,1.0
195,39,0,0.0
197,39,39,1.0
199,39,0,0.0
201,39,39,1.0
203,39,0,0.0
205,39,39,1.0
207,39,0,0.0
209,39,39,1.0
211,39,0,0.0
213,39,39,1.0
215,39,0,0.0
217,39,39,1.0
219,39,0,0.0
221,39,39,1.0
223,39,0,0.0
225,39,39,1.0
227,39,0,0.0
229,39,39,1.0
231,39,0,0.0
233,39,39,1.0
235,39,0,0.0
237,39,39,1.0
239,39,0,0.0
241,39,39,1.0
243,39,0,0.0
245,39,39,1.0
247,39,0,0.0
249,39,39,1.0
251,39,0,0.0
253,39,39,1.0
255,39,0,0.0
