residue,mod,sample_size,A_count,AB_count,hat_p
1,256,39,39,39,1.000000
3,256,39,39,0,0.000000
5,256,39,39,39,1.000000
7,256,39,39,0,0.000000
9,256,39,39,39,1.000000
11,256,39,39,0,0.000000
13,256,39,39,39,1.000000
15,256,39,39,0,0.000000
17,256,39,39,39,1.000000
19,256,39,39,0,0.000000
21,256,39,39,39,1.000000
23,256,39,39,0,0.000000
25,256,39,39,39,1.000000
27,256,39,39,0,0.000000
29,256,39,39,39,1.000000
31,256,39,39,0,0.000000
33,256,39,39,39,1.000000
35,256,39,39,0,0.000000
37,256,39,39,39,1.000000
39,256,39,39,0,0.000000
41,256,39,39,39,1.000000
43,256,39,39,0,0.000000
45,256,39,39,39,1.000000
47,256,39,39,0,0.000000
49,256,39,39,39,1.000000
51,256,39,39,0,0.000000
53,256,39,39,39,1.000000
55,256,39,39,0,0.000000
57,256,39,39,39,1.000000
59,256,39,39,0,0.000000
61,256,39,39,39,1.000000
63,256,39,39,0,0.000000
65,256,39,39,39,1.000000
67,256,39,39,0,0.000000
69,256,39,39,39,1.000000
71,256,39,39,0,0.000000
73,256,39,39,39,1.000000
75,256,39,39,0,0.000000
77,256,39,39,39,1.000000
79,256,39,39,0,0.000000
81,256,39,39,39,1.000000
83,256,39,39,0,0.000000
85,256,39,39,39,1.000000
87,256,39,39,0,0.000000
89,256,39,39,39,1.000000
91,256,39,39,0,0.000000
93,256,39,39,39,1.000000
95,256,39,39,0,0.000000
97,256,39,39,39,1.000000
99,256,39,39,0,0.000000
101,256,39,39,39,1.000000
103,256,39,39,0,0.000000
105,256,39,39,39,1.000000
107,256,39,39,0,0.000000
109,256,39,39,39,1.000000
111,256,39,39,0,0.000000
113,256,39,39,39,1.000000
115,256,39,39,0,0.000000
117,256,39,39,39,1.000000
119,256,39,39,0,0.000000
121,256,39,39,39,1.000000
123,256,39,39,0,0.000000
125,256,39,39,39,1.000000
127,256,39,39,0,0.000000
129,256,39,39,39,1.000000
131,256,39,39,0,0.000000
133,256,39,39,39,1.000000
135,256,39,39,0,0.000000
137,256,39,39,39,1.000000
139,256,39,39,0,0.000000
141,256,39,39,39,1.000000
143,256,39,39,0,0.000000
145,256,39,39,39,1.000000
147,256,39,39,0,0.000000
149,256,39,39,39,1.000000
151,256,39,39,0,0.000000
153,256,39,39,39,1.000000
155,256,39,39,0,0.000000
157,256,39,39,39,1.000000
159,256,39,39,0,0.000000
161,256,40,40,40,1.000000
163,256,40,40,0,0.000000
165,256,40,40,40,1.000000
167,256,40,40,0,0.000000
169,256,40,40,40,1.000000
171,256,40,40,0,0.000000
173,256,40,40,40,1.000000
175,256,40,40,0,0.000000
177,256,39,39,39,1.000000
179,256,39,39,0,0.000000
181,256,39,39,39,1.000000
183,256,39,39,0,0.000000
185,256,39,39,39,1.000000
187,256,39,39,0,0.000000
189,256,39,39,39,1.000000
191,256,39,39,0,0.000000
193,256,39,39,39,1.000000
195,256,39,39,0,0.000000
197,256,39,39,39,1.000000
199,256,39,39,0,0.000000
201,256,39,39,39,1.000000
203,256,39,39,0,0.000000
205,256,39,39,39,1.000000
207,256,39,39,0,0.000000
209,256,39,39,39,1.000000
211,256,39,39,0,0.000000
213,256,39,39,39,1.000000
215,256,39,39,0,0.000000
217,256,39,39,39,1.000000
219,256,39,39,0,0.000000
221,256,39,39,39,1.000000
223,256,39,39,0,0.000000
225,256,39,39,39,1.000000
227,256,39,39,0,0.000000
229,256,39,39,39,1.000000
231,256,39,39,0,0.000000
233,256,39,39,39,1.000000
235,256,39,39,0,0.000000
237,256,39,39,39,1.000000
239,256,39,39,0,0.000000
241,256,39,39,39,1.000000
243,256,39,39,0,0.000000
245,256,39,39,39,1.000000
247,256,39,39,0,0.000000
249,256,39,39,39,1.000000
251,256,39,39,0,0.000000
253,256,39,39,39,1.000000
255,256,39,39,0,0.000000
